[Device] Using cuda
[SURREAL] Scanning: /home/channagiri.b/SmallData_Project/Dataset/SURREAL/data/cmu/train
[SURREAL] [train] Total samples indexed: 50000
[SURREAL] Scanning: /home/channagiri.b/SmallData_Project/Dataset/SURREAL/data/cmu/val
[SURREAL] [val] Total samples indexed: 5000
[Epoch 1] Step 50/6250 Loss: 1.2794 | 0.13s/step | ETA 00:13m
[Epoch 1] Step 100/6250 Loss: 0.2367 | 0.06s/step | ETA 00:06m
[Epoch 1] Step 150/6250 Loss: 0.1699 | 0.06s/step | ETA 00:06m
[Epoch 1] Step 200/6250 Loss: 0.1483 | 0.06s/step | ETA 00:06m
[Epoch 1] Step 250/6250 Loss: 0.1291 | 0.06s/step | ETA 00:06m
[Epoch 1] Step 300/6250 Loss: 0.1184 | 0.06s/step | ETA 00:06m
[Epoch 1] Step 350/6250 Loss: 0.1083 | 0.06s/step | ETA 00:05m
[Epoch 1] Step 400/6250 Loss: 0.1006 | 0.06s/step | ETA 00:05m
[Epoch 1] Step 450/6250 Loss: 0.0964 | 0.06s/step | ETA 00:05m
[Epoch 1] Step 500/6250 Loss: 0.0938 | 0.06s/step | ETA 00:05m
[Epoch 1] Step 550/6250 Loss: 0.0950 | 0.06s/step | ETA 00:05m
[Epoch 1] Step 600/6250 Loss: 0.0865 | 0.06s/step | ETA 00:05m
[Epoch 1] Step 650/6250 Loss: 0.0877 | 0.06s/step | ETA 00:05m
[Epoch 1] Step 700/6250 Loss: 0.0842 | 0.06s/step | ETA 00:05m
[Epoch 1] Step 750/6250 Loss: 0.0939 | 0.06s/step | ETA 00:05m
[Epoch 1] Step 800/6250 Loss: 0.0842 | 0.06s/step | ETA 00:05m
[Epoch 1] Step 850/6250 Loss: 0.0825 | 0.06s/step | ETA 00:05m
[Epoch 1] Step 900/6250 Loss: 0.0821 | 0.06s/step | ETA 00:05m
[Epoch 1] Step 950/6250 Loss: 0.0771 | 0.06s/step | ETA 00:05m
[Epoch 1] Step 1000/6250 Loss: 0.0759 | 0.06s/step | ETA 00:05m
[Epoch 1] Step 1050/6250 Loss: 0.0754 | 0.06s/step | ETA 00:05m
[Epoch 1] Step 1100/6250 Loss: 0.0751 | 0.07s/step | ETA 00:05m
[Epoch 1] Step 1150/6250 Loss: 0.0726 | 0.06s/step | ETA 00:05m
[Epoch 1] Step 1200/6250 Loss: 0.0711 | 0.06s/step | ETA 00:05m
[Epoch 1] Step 1250/6250 Loss: 0.0703 | 0.06s/step | ETA 00:05m
[Epoch 1] Step 1300/6250 Loss: 0.0687 | 0.06s/step | ETA 00:05m
[Epoch 1] Step 1350/6250 Loss: 0.0690 | 0.06s/step | ETA 00:04m
[Epoch 1] Step 1400/6250 Loss: 0.0698 | 0.06s/step | ETA 00:04m
[Epoch 1] Step 1450/6250 Loss: 0.0695 | 0.06s/step | ETA 00:04m
[Epoch 1] Step 1500/6250 Loss: 0.0693 | 0.06s/step | ETA 00:04m
[Epoch 1] Step 1550/6250 Loss: 0.0696 | 0.06s/step | ETA 00:04m
[Epoch 1] Step 1600/6250 Loss: 0.0665 | 0.06s/step | ETA 00:04m
[Epoch 1] Step 1650/6250 Loss: 0.0691 | 0.06s/step | ETA 00:04m
[Epoch 1] Step 1700/6250 Loss: 0.0679 | 0.06s/step | ETA 00:04m
[Epoch 1] Step 1750/6250 Loss: 0.0668 | 0.06s/step | ETA 00:04m
[Epoch 1] Step 1800/6250 Loss: 0.0671 | 0.06s/step | ETA 00:04m
[Epoch 1] Step 1850/6250 Loss: 0.0651 | 0.06s/step | ETA 00:04m
[Epoch 1] Step 1900/6250 Loss: 0.0660 | 0.06s/step | ETA 00:04m
[Epoch 1] Step 1950/6250 Loss: 0.0640 | 0.06s/step | ETA 00:04m
[Epoch 1] Step 2000/6250 Loss: 0.0617 | 0.06s/step | ETA 00:04m
[Epoch 1] Step 2050/6250 Loss: 0.0625 | 0.06s/step | ETA 00:04m
[Epoch 1] Step 2100/6250 Loss: 0.0626 | 0.06s/step | ETA 00:04m
[Epoch 1] Step 2150/6250 Loss: 0.0610 | 0.06s/step | ETA 00:04m
[Epoch 1] Step 2200/6250 Loss: 0.0596 | 0.06s/step | ETA 00:04m
[Epoch 1] Step 2250/6250 Loss: 0.0633 | 0.06s/step | ETA 00:04m
[Epoch 1] Step 2300/6250 Loss: 0.0624 | 0.06s/step | ETA 00:03m
[Epoch 1] Step 2350/6250 Loss: 0.0613 | 0.06s/step | ETA 00:03m
[Epoch 1] Step 2400/6250 Loss: 0.0605 | 0.06s/step | ETA 00:03m
[Epoch 1] Step 2450/6250 Loss: 0.0642 | 0.06s/step | ETA 00:03m
[Epoch 1] Step 2500/6250 Loss: 0.0618 | 0.06s/step | ETA 00:03m
[Epoch 1] Step 2550/6250 Loss: 0.0622 | 0.06s/step | ETA 00:03m
[Epoch 1] Step 2600/6250 Loss: 0.0589 | 0.06s/step | ETA 00:03m
[Epoch 1] Step 2650/6250 Loss: 0.0620 | 0.06s/step | ETA 00:03m
[Epoch 1] Step 2700/6250 Loss: 0.0589 | 0.06s/step | ETA 00:03m
