[Device] Using cuda
[SURREAL] Scanning: /home/channagiri.b/SmallData_Project/Dataset/SURREAL/data/cmu/train
[SURREAL] [train] Total samples indexed: 200000
[SURREAL] Scanning: /home/channagiri.b/SmallData_Project/Dataset/SURREAL/data/cmu/val
[SURREAL] [val] Total samples indexed: 20000
[Resume] Loaded from /home/channagiri.b/SmallData_Project/Output_Sanity/segformer_b2_epoch_2.pth (epoch 2)
[Epoch 3] Step 50/25000 Loss: 0.0605 | 0.14s/step | ETA 00:56m
[Epoch 3] Step 100/25000 Loss: 0.0677 | 0.07s/step | ETA 00:30m
[Epoch 3] Step 150/25000 Loss: 0.0591 | 0.07s/step | ETA 00:30m
[Epoch 3] Step 200/25000 Loss: 0.0538 | 0.07s/step | ETA 00:29m
[Epoch 3] Step 250/25000 Loss: 0.0537 | 0.07s/step | ETA 00:30m
[Epoch 3] Step 300/25000 Loss: 0.0526 | 0.07s/step | ETA 00:30m
[Epoch 3] Step 350/25000 Loss: 0.0509 | 0.07s/step | ETA 00:29m
[Epoch 3] Step 400/25000 Loss: 0.0514 | 0.07s/step | ETA 00:29m
[Epoch 3] Step 450/25000 Loss: 0.0582 | 0.07s/step | ETA 00:29m
[Epoch 3] Step 500/25000 Loss: 0.0523 | 0.07s/step | ETA 00:29m
[Epoch 3] Step 550/25000 Loss: 0.0513 | 0.07s/step | ETA 00:29m
[Epoch 3] Step 600/25000 Loss: 0.0507 | 0.07s/step | ETA 00:29m
[Epoch 3] Step 650/25000 Loss: 0.0495 | 0.07s/step | ETA 00:29m
[Epoch 3] Step 700/25000 Loss: 0.0485 | 0.07s/step | ETA 00:28m
[Epoch 3] Step 750/25000 Loss: 0.0492 | 0.07s/step | ETA 00:29m
[Epoch 3] Step 800/25000 Loss: 0.0468 | 0.07s/step | ETA 00:28m
[Epoch 3] Step 850/25000 Loss: 0.0485 | 0.07s/step | ETA 00:28m
[Epoch 3] Step 900/25000 Loss: 0.0490 | 0.08s/step | ETA 00:30m
[Epoch 3] Step 950/25000 Loss: 0.0459 | 0.07s/step | ETA 00:28m
[Epoch 3] Step 1000/25000 Loss: 0.0470 | 0.07s/step | ETA 00:28m
[Epoch 3] Step 1050/25000 Loss: 0.0489 | 0.07s/step | ETA 00:29m
[Epoch 3] Step 1100/25000 Loss: 0.0466 | 0.07s/step | ETA 00:28m
[Epoch 3] Step 1150/25000 Loss: 0.0456 | 0.07s/step | ETA 00:29m
[Epoch 3] Step 1200/25000 Loss: 0.0495 | 0.07s/step | ETA 00:28m
[Epoch 3] Step 1250/25000 Loss: 0.0462 | 0.07s/step | ETA 00:28m
